time_s,lat,lon,alt_m
1771501108.9069836,54.7671108,-1.5680058,-0.376
1771501109.007183,54.7671108,-1.5680058,-0.376
1771501109.1073668,54.7671108,-1.5680058,-0.376
1771501109.2075777,54.7671108,-1.5680058,-0.376
1771501109.3077712,54.7671108,-1.5680058,-0.375
1771501109.4079638,54.7671108,-1.5680058,-0.375
1771501109.508188,54.7671108,-1.5680058,-0.375
1771501109.6084445,54.7671108,-1.5680058,-0.375
1771501109.7086236,54.7671108,-1.5680058,-0.375
1771501109.8089423,54.7671108,-1.5680058,-0.375
1771501109.9091291,54.7671108,-1.5680058,-0.375
1771501110.009403,54.7671108,-1.5680058,-0.375
1771501110.1096833,54.7671108,-1.5680058,-0.375
1771501110.209949,54.7671108,-1.5680058,-0.375
1771501110.310212,54.7671108,-1.5680058,-0.374
1771501110.4105504,54.7671108,-1.5680058,-0.374
1771501110.5107958,54.7671108,-1.5680058,-0.374
1771501110.6112988,54.7671108,-1.5680058,-0.374
1771501110.711579,54.7671108,-1.5680058,-0.374
1771501110.8118658,54.7671108,-1.5680058,-0.374
1771501110.912196,54.7671108,-1.5680058,-0.374
1771501111.0124812,54.7671108,-1.5680058,-0.374
1771501111.1128466,54.7671108,-1.5680058,-0.374
1771501111.2130885,54.7671108,-1.5680058,-0.374
1771501111.3134573,54.7671108,-1.5680059,-0.374
1771501111.4136853,54.7671108,-1.5680059,-0.374
1771501111.5139298,54.7671108,-1.5680059,-0.374
1771501111.614179,54.7671108,-1.5680059,-0.374
1771501111.7144248,54.7671108,-1.5680059,-0.374
1771501111.814735,54.7671108,-1.5680059,-0.374
1771501111.9150832,54.7671108,-1.5680059,-0.374
1771501112.0153596,54.7671108,-1.5680059,-0.374
1771501112.1155882,54.7671108,-1.5680059,-0.374
1771501112.215845,54.7671108,-1.5680059,-0.374
1771501112.3161256,54.7671108,-1.5680058,-0.373
1771501112.4163797,54.7671108,-1.5680058,-0.373
1771501112.5166233,54.7671108,-1.5680058,-0.373
1771501112.6168554,54.7671108,-1.5680058,-0.373
1771501112.7170858,54.7671108,-1.5680058,-0.373
1771501112.81737,54.7671108,-1.5680058,-0.373
1771501112.9175994,54.7671108,-1.5680058,-0.373
1771501113.0178308,54.7671108,-1.5680058,-0.373
1771501113.1180725,54.7671108,-1.5680058,-0.373
1771501113.2183855,54.7671108,-1.5680058,-0.373
1771501113.3187168,54.7671108,-1.5680058,-0.373
1771501113.41897,54.7671108,-1.5680058,-0.373
1771501113.5192146,54.7671108,-1.5680058,-0.373
1771501113.6194737,54.7671108,-1.5680058,-0.373
1771501113.7197373,54.7671108,-1.5680058,-0.373
1771501113.820064,54.7671108,-1.5680058,-0.373
1771501113.920323,54.7671108,-1.5680058,-0.373
1771501114.020578,54.7671108,-1.5680058,-0.373
1771501114.120829,54.7671108,-1.5680058,-0.373
1771501114.2210803,54.7671108,-1.5680058,-0.373
1771501114.321295,54.7671108,-1.5680058,-0.373
1771501114.4215767,54.7671108,-1.5680058,-0.373
1771501114.5218253,54.7671108,-1.5680058,-0.373
1771501114.622069,54.7671108,-1.5680058,-0.373
1771501114.722384,54.7671108,-1.5680058,-0.373
1771501114.8226216,54.7671108,-1.5680058,-0.373
1771501114.9229248,54.7671108,-1.5680058,-0.373
1771501115.0231957,54.7671108,-1.5680058,-0.373
1771501115.1234546,54.7671108,-1.5680058,-0.373
1771501115.223716,54.7671108,-1.5680058,-0.373
1771501115.3239875,54.7671108,-1.5680058,-0.373
1771501115.424241,54.7671108,-1.5680058,-0.373
1771501115.5244813,54.7671108,-1.5680058,-0.373
1771501115.6247315,54.7671108,-1.5680058,-0.373
1771501115.7249844,54.7671108,-1.5680058,-0.373
1771501115.8252554,54.7671108,-1.5680058,-0.373
1771501115.9255073,54.7671108,-1.5680058,-0.373
1771501116.02584,54.7671108,-1.5680058,-0.373
1771501116.1261036,54.7671108,-1.5680058,-0.373
1771501116.2264192,54.7671108,-1.5680058,-0.373
1771501116.3266737,54.7671108,-1.5680058,-0.373
1771501116.4269047,54.7671108,-1.5680058,-0.373
1771501116.5271592,54.7671108,-1.5680058,-0.373
1771501116.6274443,54.7671108,-1.5680058,-0.373
1771501116.7277164,54.7671108,-1.5680058,-0.373
1771501116.8281932,54.7671108,-1.5680058,-0.373
1771501116.9286108,54.7671108,-1.5680058,-0.373
1771501117.0289192,54.7671108,-1.5680058,-0.373
1771501117.1316822,54.7671108,-1.5680058,-0.373
1771501117.231976,54.7671108,-1.5680058,-0.373
